Müügiloa number;Müügiloa staatus;H/V;Pakendikood;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Pakendi suurus;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimikaardi staatus;Ravimi liik;Täiendav järelevalve;Erandid pakendi nõuetest;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Kõlblikkusaeg;Säilitustingimused;PD pakend;Sisepakendi liik;Sisepakendi materjal;Pakendi komponendi liik;Pakendi komponendi materjal;Müügiloa liik;Müügiloa hoidja organisatsiooni asukoht;Müügiloa hoidja organisatsiooni asukoha LOC ID;ML juhtumi taotluse liik;Juhtumi staatus;Müügiloa taotluse protseduuri number;Esitamise kuupäev;Otsuse kuupäev;Juhtumi lõpu kuupäev
EU/1/16/1092;Valid;H;1714430;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;90 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;blister;PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714306;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;56 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;pudel;PolyVinyl Chloride, High Density PolyEthylene, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714317;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;90 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;blister;PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714328;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;98 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;pudel;PolyVinyl Chloride, High Density PolyEthylene, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714339;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;14 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;blister;PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714407;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;28 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;pudel;High Density PolyEthylene, PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714351;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;30 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;blister;PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714362;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;56 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;pudel;PolyVinyl Chloride, PolyChloroTriFluoroEthylene, High Density PolyEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714373;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;90 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;blister;PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499171;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;14 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499182;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;28 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499238;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;360 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499193;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;30 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499205;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;56 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499216;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;90 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499227;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;98 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3748;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499317;TWYNSTA;10mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;28 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3750;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499328;TWYNSTA;10mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;30 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3750;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499306;TWYNSTA;10mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;14 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3750;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499339;TWYNSTA;10mg, 40mg;Tablett;C09DB04;telmisartaan, amlodipiin;56 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3750;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499441;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;14 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499452;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;28 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499463;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;30 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499474;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;56 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499384;TWYNSTA;5mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;28 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3751;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499395;TWYNSTA;5mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;30 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3751;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499407;TWYNSTA;5mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;56 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3751;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499418;TWYNSTA;5mg, 80mg;Tablett;C09DB04;amlodipiin, telmisartaan;90 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3751;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;amlodipiin, telmisartaan;;amlodipiin, telmisartaan;5mg, 80mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499485;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;90 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;Üksikannuseline blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/10/648;Valid;H;1499496;TWYNSTA;80mg, 10mg;Tablett;C09DB04;amlodipiin, telmisartaan;98 Tablett;Boehringer Ingelheim International GmbH;ORG-100012432;07.10.2010;;3752;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;;;Ei;blister;Aluminium;;;Marketing Authorisation;"Binger Strasse 173 
Ingelheim Am Rhein 
Rhineland-Palatinate 
55216, Germany";LOC-100018243;;MIGRATION_SUCCESSFUL;;;;10.07.2022
