Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
730111;Valid;H;SANORAL HCT;25mg, 40mg, 10mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;01.02.2011;;3396;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;25mg, 40mg, 10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;84 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 300 Tablett, 500 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
1017220;Valid;H;NORVASC;5mg;Tablett;C08CA01;amlodipiin;Ideal Trade Links UAB;ORG-100010645;LOC-100044049;1;Rumeenia;06.01.2021;;7863;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;30 Tablett;1;;
979619;Valid;H;WAMLOX;5mg, 320mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.02.2019;05.02.2024;6455;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;amlodipiin, valsartaan;5mg, 320mg;Suukaudne;;Hoida temperatuuril kuni 30°C;10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 100 Tablett;1;;
1008020;Valid;H;OLSITRI;10mg, 40mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX03;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;25.06.2020;25.06.2025;7131;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;10mg, 40mg, 12.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
730411;Valid;H;SANORAL HCT;20mg, 12.5mg, 5mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;01.02.2011;;3380;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;20mg, 12.5mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett, 84 Tablett, 7 Tablett, 10 Tablett, 14 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
982419;Valid;H;VALTRICOM;160mg, 5mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.03.2019;05.03.2024;6566;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, valsartaan, amlodipiin;;valsartaan, amlodipiin, hüdroklorotiasiid;160mg, 5mg, 12.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 98 Tablett, 100 Tablett;1;;
606308;Valid;H;SANORAL;10mg, 40mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;31.10.2008;;2471;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;amlodipiin, olmesartaanmedoksomiil;10mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
949617;Valid;H;OLSSA;20mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;12.09.2017;12.09.2022;5894;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;20mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
1008120;Valid;H;OLSITRI;10mg, 40mg, 25mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;25.06.2020;25.06.2025;7132;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;10mg, 40mg, 25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;90 Tablett, 28 Tablett, 98 Tablett, 30 Tablett, 14 Tablett, 56 Tablett, 60 Tablett, 84 Tablett;1;;
982719;Valid;H;VALTRICOM;25mg, 10mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, hüdroklorotiasiid, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.03.2019;05.03.2024;6569;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;hüdroklorotiasiid, amlodipiin, valsartaan;25mg, 10mg, 160mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
730211;Valid;H;SANORAL HCT;12.5mg, 40mg, 10mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;01.02.2011;;3392;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;12.5mg, 40mg, 10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;84 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 500 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
EU/1/06/371;Valid;H;DAFIRO;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2299;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;56 Tablett, 90 Tablett, 98 Tablett, 7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 280 Tablett;1;;
EU/1/09/574;Valid;H;DAFIRO HCT;10mg, 12.5mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3304;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;amlodipiin, hüdroklorotiasiid, valsartaan;10mg, 12.5mg, 160mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
1040721;Valid;H;PRINDAL;10mg, 4mg, 1.25mg;Tablett;C09BX01;amlodipiin, indapamiid, perindopriil;Zentiva k.s.;ORG-100004108;LOC-100002580;1;;15.09.2021;15.09.2026;7496;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, indapamiid, perindopriil;;amlodipiin, perindopriil, indapamiid;10mg, 4mg, 1.25mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 60 Tablett, 90 Tablett;1;;
730511;Valid;H;SANORAL HCT;40mg, 25mg, 5mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;01.02.2011;;3395;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;40mg, 25mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 84 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
1040521;Valid;H;PERINDOPRIL/ AMLODIPINE ACTAVIS;10mg;Tablett;C09BB04;perindopriil, amlodipiin;Actavis Group Ptc ehf.;ORG-100000064;LOC-100001873;1;;15.09.2021;15.09.2026;7462;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 90 Tablett;1;;
838614;Valid;H;PERINDOPRIL/AMLODIPINE TEVA;5mg, 10mg;Tablett;C09BB04;amlodipiin, perindopriil;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;28.02.2014;;4431;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;5mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett;1;;
567207;Valid;H;AMLODIPINE MEDOCHEMIE;10mg;Tablett;C08CA01;amlodipiin;Medochemie Limited;MO11501;ML11502;1;;14.12.2007;;2394;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett;1;;
942317;Valid;H;NORVASC;5mg;Tablett;C08CA01;amlodipiin;First Pharma OÜ;ORG-100009587;LOC-100055675;1;Rumeenia;06.06.2017;;6159;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;30 Tablett, 4 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 98 Tablett, 100 Tablett, 300 Tablett, 500 Tablett;1;;
996719;Valid;H;ROXAMPEX;20mg, 8mg, 5mg;Õhukese polümeerikattega tablett;C10BX14;rosuvastatiin, amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6830;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;rosuvastatiin, perindopriil, amlodipiin;;rosuvastatiin, perindopriil, amlodipiin;20mg, 8mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
954517;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE ZENTIVA;5mg, 40mg;Õhukese polümeerikattega tablett;C09DB02;olmesartaanmedoksomiil, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;3813;;07.11.2017;;12991;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;amlodipiin, olmesartaanmedoksomiil;5mg, 40mg;Suukaudne;;Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;3813;;22.09.2022
915916;Valid;H;FRAMSYL;10mg, 16mg;Kõvakapsel;C09DB07;kandesartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;13.09.2016;;13028;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;amlodipiin, kandesartaan;;amlodipiin, kandesartaan;10mg, 16mg;Suukaudne;;Hoida temperatuuril kuni 30°C;28 Kapsel, 56 Kapsel, 98 Kapsel;3824;;23.09.2022
1007720;Valid;H;OLSITRI;5mg, 20mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;25.06.2020;25.06.2025;7128;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;5mg, 20mg, 12.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
837714;Valid;H;TENLORIS;100mg, 10mg;Õhukese polümeerikattega tablett;C09DB06;amlodipiin, losartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;28.02.2014;;4533;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, losartaan;;losartaan, amlodipiin;100mg, 10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett;1;;
825313;Valid;H;NATRIXAM;5mg, 1.5mg;Toimeainet modifitseeritult vabastav tablett;C08GA80;amlodipiin, indapamiid;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;03.10.2013;;4287;Chemical Medicinal Product;Ei;;;Toimeainet modifitseeritult vabastav tablett;Toimeainet modifitseeritult vabastav tablett;amlodipiin, indapamiid;;amlodipiin, indapamiid;5mg, 1.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;15 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett;1;;
885115;Valid;H;TRIVERAM 10MG/5MG/5MG;10mg, 5mg;Õhukese polümeerikattega tablett;C10BX11;perindopriil, atorvastatiin, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;2553;;16.09.2015;;9835;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, perindopriil, atorvastatiin;;atorvastatiin, amlodipiin, perindopriil;10mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida pakend tihedalt suletuna, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, hoida niiskuse eest kaitstult;30 Tablett, 90 Tablett, 100 Tablett, 10 Tablett, 28 Tablett, 84 Tablett;2553;;22.07.2022
